,city,latitud,longitud,temperature,wind_speed,cloudiness,humidity,date
385,margosatubig,7.58,123.17,301.9,2.18,47,71,1562821309
386,khasan,42.43,130.64,289.7,3.23,100,85,1562821310
387,salalah,17.01,54.1,300.15,2.6,75,88,1562821310
388,raudeberg,61.99,5.14,286.15,1.0,75,93,1562821310
389,provideniya,64.42,-173.23,291.15,1.0,0,59,1562821310
390,jiazi,19.61,110.49,307.15,3.0,20,63,1562821311
391,mamallapuram,12.63,80.17,305.15,2.6,75,55,1562821311
392,timiryazevskiy,47.05,39.61,291.15,1.64,20,77,1562821311
393,hualmay,-11.1,-77.61,289.8,6.25,1,89,1562821144
394,prainha,-1.8,-53.48,294.8,0.31,8,98,1562821312
395,izhmorskiy,56.19,86.64,293.9,3.04,0,49,1562821312
396,monte gordo,37.18,-7.45,294.82,2.6,0,64,1562821313
397,geraldton,49.72,-86.95,285.15,5.1,90,100,1562821071
398,juneau,58.3,-134.42,295.15,2.1,40,49,1562821313
399,the valley,18.22,-63.06,300.37,5.1,20,78,1562821314
400,inhambane,-23.87,35.38,291.5,1.55,0,64,1562821133
401,douglas,58.28,-134.39,295.15,2.1,40,49,1562821314
402,touros,-5.2,-35.46,296.15,2.1,40,94,1562821072
403,san patricio,-26.98,-56.83,291.1,3.69,80,82,1562821096
404,zhanaozen,43.35,52.85,303.2,5.56,0,39,1562821315
405,lundazi,-12.29,33.17,288.4,4.11,21,73,1562821316
406,vermillion,42.78,-96.93,294.26,2.1,1,88,1562821316
407,porbandar,21.64,69.61,305.15,6.7,40,70,1562821316
408,san pedro,-33.68,-59.66,282.59,0.5,100,88,1562821317
409,merauke,-8.49,140.4,298.5,8.86,78,76,1562821318
410,pauini,-7.71,-67.0,295.2,0.67,43,79,1562821318
411,ponta delgada,37.73,-25.67,292.15,3.6,20,93,1562821233
412,ibotirama,-12.18,-43.22,291.0,0.44,45,70,1562821319
413,poya,-21.35,165.16,294.8,4.84,55,65,1562821319
414,brasilia,-10.9,-37.55,296.15,7.7,75,94,1562821320
415,camacha,33.08,-16.33,294.15,6.7,75,68,1562821320
416,kita,35.76,139.74,298.71,1.5,75,60,1562821320
417,mitsamiouli,-11.38,43.28,298.15,7.7,20,65,1562821321
418,karaton,-6.34,106.1,305.15,6.2,20,49,1562821321
